week,new_users,retained_users,resurrected_users,churned_users,quick_ratio,retention_rate
w2,723,931,0,828,0.8731884057971014,0.5292779988629903
w3,732,1000,87,654,1.2522935779816513,0.6045949214026602
w4,947,1169,225,563,2.0817051509769096,0.6749422632794457
w5,799,1394,125,722,1.2797783933518005,0.6587901701323251
w6,676,1479,187,714,1.2086834733893557,0.6744186046511628
w7,1062,1487,202,668,1.8922155688622755,0.6900232018561485
w8,1198,1677,193,872,1.5951834862385321,0.65790506080816
w9,956,1839,237,1036,1.1515444015444016,0.6396521739130435
w10,883,1938,262,857,1.3360560093348892,0.693381037567084
w11,815,1931,237,890,1.1820224719101124,0.684509039347749
w12,962,1944,328,802,1.6084788029925188,0.7079388201019665
w13,1059,2021,285,885,1.5186440677966102,0.6954576737783895
w14,960,2091,291,989,1.2649140546006066,0.6788961038961039
w15,838,2115,311,936,1.2275641025641026,0.6932153392330384
w16,866,2200,329,753,1.5869853917662682,0.745005079580088
w17,839,2206,313,860,1.3395348837209302,0.7195042400521853
w18,890,2209,375,836,1.513157894736842,0.7254515599343185
w19,788,2280,322,819,1.3553113553113554,0.7357212003872217
w20,837,2265,295,803,1.4097135740971358,0.7382659713168188
w21,812,2179,304,923,1.209100758396533,0.7024500322372663
w22,958,2289,468,702,2.0313390313390314,0.765295887662989
w23,762,2432,325,815,1.3337423312883436,0.7489990760702187
w24,684,2425,298,769,1.2769830949284786,0.7592360676268003
w25,723,2378,318,731,1.424076607387141,0.7648761659697652
w26,783,2404,344,697,1.6169296987087518,0.7752337955498226
w27,757,2428,300,759,1.3926218708827405,0.7618449952933793
w28,680,2395,310,790,1.2531645569620253,0.7519623233908949
w29,553,2292,308,783,1.0996168582375478,0.7453658536585366
w30,484,2201,309,644,1.2313664596273293,0.7736379613356766
w31,480,2172,305,513,1.530214424951267,0.8089385474860336
w32,486,2071,305,581,1.3614457831325302,0.780920060331825
w33,548,1981,269,576,1.4184027777777777,0.7747360187719984
w34,825,2109,459,420,3.057142857142857,0.833926453143535
w35,660,2227,226,707,1.2531824611032532,0.7590320381731425
w36,930,2251,275,636,1.8946540880503144,0.7797021129199861
w37,769,2330,265,851,1.2150411280846063,0.7324740647595096
w38,1095,2306,245,793,1.6897856242118536,0.7441110035495321
w39,1276,2461,376,940,1.7574468085106383,0.7236107027344899
w40,1105,2641,307,1096,1.2883211678832116,0.7067166176077068
w41,1349,2665,343,1081,1.565217391304348,0.711425520555259
w42,703,2745,332,1269,0.8156028368794326,0.6838565022421524
w43,704,2445,291,1003,0.9920239282153539,0.709106728538283
w44,865,2353,390,796,1.5766331658291457,0.7472213401079708
w45,782,2309,360,909,1.2563256325632564,0.7175264139216905
w46,1226,2357,634,734,2.534059945504087,0.7625363959883533
w47,1024,2583,431,1000,1.455,0.7209042701646665
w48,1168,2654,525,953,1.776495278069255,0.7357915164957028
w49,1038,2825,462,997,1.5045135406218655,0.739141810570382
w50,972,2782,423,1081,1.2904717853839038,0.7201656743463629
w51,1033,2768,514,986,1.5689655172413792,0.7373468300479489
w52,1004,2764,454,1037,1.4059787849566057,0.7271770586687714
w53,1026,2715,480,1053,1.4301994301994303,0.7205414012738853
w54,1152,2757,543,984,1.7225609756097562,0.7369687249398557
w55,995,2811,511,1098,1.3715846994535519,0.7191097467382962
w56,910,2786,473,1020,1.3558823529411765,0.7320021019442985
